OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,TotalAmount
ORD_000001,CUST_0426,PROD_0134,2023-02-18,3,492.74,1478.22
ORD_000002,CUST_0361,PROD_0105,2023-08-28,2,54.51,109.02
ORD_000003,CUST_0021,PROD_0141,2024-10-13,2,279.2,558.4
ORD_000004,CUST_0353,PROD_0124,2023-11-09,2,134.87,269.74
ORD_000005,CUST_0344,PROD_0023,2022-08-15,5,137.0,685.0
ORD_000006,CUST_0343,PROD_0127,2022-11-02,1,233.49,233.49
ORD_000007,CUST_0039,PROD_0186,2022-07-27,3,258.0,774.0
ORD_000008,CUST_0330,PROD_0060,2024-07-24,3,231.33,693.99
ORD_000009,CUST_0136,PROD_0119,2022-04-13,1,158.52,158.52
ORD_000010,CUST_0417,PROD_0045,2022-03-22,3,229.33,687.99
ORD_000011,CUST_0185,PROD_0174,2023-10-03,4,47.31,189.24
ORD_000012,CUST_0379,PROD_0030,2022-07-14,1,183.28,183.28
ORD_000013,CUST_0005,PROD_0036,2022-12-16,4,86.72,346.88
ORD_000014,CUST_0225,PROD_0160,2023-07-04,1,305.41,305.41
ORD_000015,CUST_0191,PROD_0088,2023-01-10,1,31.25,31.25
ORD_000016,CUST_0206,PROD_0103,2024-07-23,3,325.29,975.87
ORD_000017,CUST_0428,PROD_0099,2024-09-06,4,399.69,1598.76
ORD_000018,CUST_0333,PROD_0043,2022-08-20,2,253.55,507.1
ORD_000019,CUST_0357,PROD_0186,2022-05-01,2,258.0,516.0
ORD_000020,CUST_0054,PROD_0107,2024-09-15,5,79.38,396.9
ORD_000021,CUST_0348,PROD_0113,2023-01-07,5,321.72,1608.6
ORD_000022,CUST_0195,PROD_0200,2024-01-05,5,74.45,372.25
ORD_000023,CUST_0015,PROD_0176,2022-09-25,4,215.1,860.4
ORD_000024,CUST_0472,PROD_0125,2022-08-20,4,297.31,1189.24
ORD_000025,CUST_0226,PROD_0012,2022-05-10,3,112.4,337.2
ORD_000026,CUST_0336,PROD_0081,2022-01-26,5,354.41,1772.05
ORD_000027,CUST_0393,PROD_0191,2023-04-04,3,133.98,401.94
ORD_000028,CUST_0266,PROD_0134,2022-07-15,4,492.74,1970.96
ORD_000029,CUST_0339,PROD_0187,2023-05-25,4,184.96,739.84
ORD_000030,CUST_0178,PROD_0170,2024-02-28,2,251.97,503.94
ORD_000031,CUST_0430,PROD_0143,2022-04-22,1,426.01,426.01
ORD_000032,CUST_0330,PROD_0041,2024-11-01,6,204.61,1227.66
ORD_000033,CUST_0446,PROD_0043,2022-06-03,4,253.55,1014.2
ORD_000034,CUST_0165,PROD_0062,2023-11-09,3,258.85,776.55
ORD_000035,CUST_0115,PROD_0141,2024-02-15,4,279.2,1116.8
ORD_000036,CUST_0419,PROD_0061,2022-06-11,4,379.34,1517.36
ORD_000037,CUST_0228,PROD_0147,2024-07-06,1,21.02,21.02
ORD_000038,CUST_0439,PROD_0128,2024-07-04,3,129.63,388.89
ORD_000039,CUST_0061,PROD_0128,2022-02-06,1,129.63,129.63
ORD_000040,CUST_0207,PROD_0106,2022-03-15,5,23.06,115.3
ORD_000041,CUST_0282,PROD_0001,2022-07-06,5,28.84,144.2
ORD_000042,CUST_0494,PROD_0159,2023-09-16,5,146.86,734.3
ORD_000043,CUST_0288,PROD_0053,2024-07-23,3,118.99,356.97
ORD_000044,CUST_0187,PROD_0014,2023-04-02,4,136.14,544.56
ORD_000045,CUST_0170,PROD_0144,2024-08-26,3,211.4,634.2
ORD_000046,CUST_0367,PROD_0116,2022-08-22,1,401.54,401.54
ORD_000047,CUST_0389,PROD_0169,2023-03-31,1,471.43,471.43
ORD_000048,CUST_0175,PROD_0091,2023-08-21,5,296.27,1481.35
